ID,Unit,Facie,depth,MS,Den,FP,TS,TC,TIC,TOC,BioSi,TN,TOC/TN,d15N,d13C,Montmorillonite,Muscovite,Talc,Riebeckite,Clinochlore,Microcline,Quartz,Albite,Amorphous
"CHILL-LEM13-3A-2U, 23-24 cm",U3,T7,197,63.7183,1.5059,0.7019,0.99355,1.0453,0.42648,0.61882,19.7573498085,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 24-25 cm",U3,T7,198,,,,1.0398,0.40193,0.40248,-0.00055,8.5065109467,,,-1.151517971,-26.2146085234,,,,,,,,,
"CHILL-LEM13-3A-2U, 25-26 cm",U3,T7,199,58.4965,1.6891,0.5895,0.35502,0.53593,0.18466,0.35127,9.7668603895,0.132,3.1046590909,,,1.176,1.777,0,0,3.041,0.419,3.304,8.536,42.26
"CHILL-LEM13-3A-2U, 26-27 cm",U3,T7,200,,,,0.31735,0.73179,0.16374,0.56805,11.8509641361,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 27-28 cm",U3,T7,201,60.8041,1.5592,0.6692,0.3093,1.2672,0.23631,1.03089,15.1311994822,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 28-29 cm",U4,TL1,202,,,,0.44529,2.2207,0.22961,1.99109,16.9004395747,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 29-30 cm",U4,TL1,203,60.167,1.4713,0.7231,0.47953,2.5793,0.19474,2.38456,18.1495444522,,,-0.4540245449,-18.3549516878,,,,,,,,,
"CHILL-LEM13-3A-2U, 30-31 cm",U4,TL1,204,,,,0.48143,2.6797,0.23591,2.44379,18.513700037,0.252,11.3138425926,,,0.201,0.484,Present,Present,0.368,0.48,2.991,6.86,54.38
"CHILL-LEM13-3A-2U, 31-32 cm",U4,TL1,205,56.3738,1.4893,0.7121,0.48997,2.7338,0.1889,2.5449,17.5415558805,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 32-33 cm",U4,TL1,206,,,,0.41221,2.5047,0.3236,2.1811,18.5510884086,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 33-34 cm",U4,TL1,207,55.6098,1.4687,0.7247,0.42134,2.4795,0.32997,2.14953,17.9894396937,,,,,,,,,,,,,
